date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:31	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Dec%202021%2013:42:31%20GMT	https://luananunespereira.site/robots.txt		(from )
10:42:32	8111/8111	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2018:03:05%20GMT	https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D	C:/Meus%20Sites/vsc3/luananunespereira.site/pv/indexed28.html	(from )
10:42:33	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Dec%202021%2013:42:33%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/vsc3/connect.facebook.net/en_US/fbevents.js	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:33	44/44	---M--	200	added ('OK')	image/gif	date:Fri,%2021%20Dec%202012%2000:00:01%20GMT	https://www.facebook.com/tr?id=187665056781082&ev=PageView&noscript=1	C:/Meus%20Sites/vsc3/www.facebook.com/tr9805.gif	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:34	140936/140936	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:06%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/Meus%20Sites/vsc3/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:34	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Dec%202021%2013:42:34%20GMT	https://fonts.gstatic.com/	C:/Meus%20Sites/vsc3/fonts.gstatic.com/index.html	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:34	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Dec%202021%2013:42:34%20GMT	https://fonts.googleapis.com/	C:/Meus%20Sites/vsc3/fonts.googleapis.com/index.html	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:35	637/637	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Dec%202021%2013:42:35%20GMT	https://fonts.googleapis.com/css2?family=Inria+Sans:wght@400;700&family=Oswald&display=swap	C:/Meus%20Sites/vsc3/fonts.googleapis.com/css2e701.css	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:35	11026/11026	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Dec%202021%2013:42:36%20GMT	https://kit.fontawesome.com/0572283b45.js	C:/Meus%20Sites/vsc3/kit.fontawesome.com/0572283b45.js	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:36	260130/260130	---M--	200	added ('OK')	image/jpeg	etag:%22618d5ad9-3f822%22	https://luananunespereira.site/pv/imgs/bg.jpeg	C:/Meus%20Sites/vsc3/luananunespereira.site/pv/imgs/bg.jpg	(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
